transaction_id,is_anomaly,anomaly_type,is_fraud
TX_2026_00000001,False,None,False
TX_2026_00000002,False,None,False
TX_2026_00000003,False,None,False
TX_2026_00000004,False,None,False
TX_2026_00000005,False,None,False
TX_2026_00000006,False,None,False
TX_2026_00000007,False,None,False
TX_2026_00000008,False,None,False
TX_2026_00000009,False,None,False
TX_2026_00000010,False,None,False
TX_2026_00000011,False,None,False
TX_2026_00000012,False,None,False
TX_2026_00000013,False,None,False
TX_2026_00000014,False,None,False
TX_2026_00000015,False,None,False
TX_2026_00000016,False,None,False
TX_2026_00000017,False,None,False
TX_2026_00000018,False,None,False
TX_2026_00000019,False,None,False
TX_2026_00000020,False,None,False
TX_2026_00000021,False,None,False
TX_2026_00000022,False,None,False
TX_2026_00000023,False,None,False
TX_2026_00000024,False,None,False
TX_2026_00000025,False,None,False
TX_2026_00000026,False,None,False
TX_2026_00000027,False,None,False
TX_2026_00000028,False,None,False
TX_2026_00000029,False,None,False
TX_2026_00000030,False,None,False
TX_2026_00000031,False,None,False
TX_2026_00000032,False,None,False
TX_2026_00000033,False,None,False
TX_2026_00000034,False,None,False
TX_2026_00000035,False,None,False
TX_2026_00000036,False,None,False
TX_2026_00000037,False,None,False
TX_2026_00000038,False,None,False
TX_2026_00000039,False,None,False
TX_2026_00000040,False,None,False
TX_2026_00000041,False,None,False
TX_2026_00000042,False,None,False
TX_2026_00000043,False,None,False
TX_2026_00000044,False,None,False
TX_2026_00000045,False,None,False
TX_2026_00000046,False,None,False
TX_2026_00000047,False,None,False
TX_2026_00000048,False,None,False
TX_2026_00000049,False,None,False
TX_2026_00000050,False,None,False
TX_2026_00000051,False,None,False
TX_2026_00000052,False,None,False
TX_2026_00000053,False,None,False
TX_2026_00000054,False,None,False
TX_2026_00000055,False,None,False
TX_2026_00000056,False,None,False
TX_2026_00000057,False,None,False
TX_2026_00000058,False,None,False
TX_2026_00000059,False,None,False
TX_2026_00000060,False,None,False
TX_2026_00000061,False,None,False
TX_2026_00000062,False,None,False
TX_2026_00000063,False,None,False
TX_2026_00000064,False,None,False
TX_2026_00000065,False,None,False
TX_2026_00000066,False,None,False
TX_2026_00000067,False,None,False
TX_2026_00000068,False,None,False
TX_2026_00000069,False,None,False
TX_2026_00000070,False,None,False
TX_2026_00000071,False,None,False
TX_2026_00000072,False,None,False
TX_2026_00000073,False,None,False
TX_2026_00000074,False,None,False
TX_2026_00000075,False,None,False
TX_2026_00000076,False,None,False
TX_2026_00000077,True,UNUSUAL_NIGHT,False
TX_2026_00000078,False,None,False
TX_2026_00000079,False,None,False
TX_2026_00000080,False,None,False
TX_2026_00000081,False,None,False
TX_2026_00000082,False,None,False
TX_2026_00000083,False,None,False
TX_2026_00000084,False,None,False
TX_2026_00000085,False,None,False
TX_2026_00000086,False,None,False
TX_2026_00000087,False,None,False
TX_2026_00000088,False,None,False
TX_2026_00000089,False,None,False
TX_2026_00000090,False,None,False
TX_2026_00000091,False,None,False
TX_2026_00000092,False,None,False
TX_2026_00000093,False,None,False
TX_2026_00000094,False,None,False
TX_2026_00000095,False,None,False
TX_2026_00000096,False,None,False
TX_2026_00000097,False,None,False
TX_2026_00000098,False,None,False
TX_2026_00000099,False,None,False
TX_2026_00000100,False,None,False
TX_2026_00000101,False,None,False
TX_2026_00000102,False,None,False
TX_2026_00000103,False,None,False
TX_2026_00000104,False,None,False
TX_2026_00000105,False,None,False
TX_2026_00000106,False,None,False
TX_2026_00000107,False,None,False
TX_2026_00000108,False,None,False
TX_2026_00000109,False,None,False
TX_2026_00000110,False,None,False
TX_2026_00000111,False,None,False
TX_2026_00000112,False,None,False
TX_2026_00000113,False,None,False
TX_2026_00000114,False,None,False
TX_2026_00000115,False,None,False
TX_2026_00000116,False,None,False
TX_2026_00000117,False,None,False
TX_2026_00000118,False,None,False
TX_2026_00000119,False,None,False
TX_2026_00000120,False,None,False
TX_2026_00000121,False,None,False
TX_2026_00000122,False,None,False
TX_2026_00000123,False,None,False
TX_2026_00000124,False,None,False
TX_2026_00000125,False,None,False
TX_2026_00000126,False,None,False
TX_2026_00000127,False,None,False
TX_2026_00000128,False,None,False
TX_2026_00000129,True,HIGH_AMOUNT,False
TX_2026_00000130,False,None,False
TX_2026_00000131,False,None,False
TX_2026_00000132,False,None,False
TX_2026_00000133,False,None,False
TX_2026_00000134,False,None,False
TX_2026_00000135,False,None,False
TX_2026_00000136,False,None,False
TX_2026_00000137,False,None,False
TX_2026_00000138,False,None,False
TX_2026_00000139,False,None,False
TX_2026_00000140,False,None,False
TX_2026_00000141,False,None,False
TX_2026_00000142,False,None,False
TX_2026_00000143,False,None,False
TX_2026_00000144,False,None,False
TX_2026_00000145,False,None,False
TX_2026_00000146,False,None,False
TX_2026_00000147,False,None,False
TX_2026_00000148,False,None,False
TX_2026_00000149,False,None,False
TX_2026_00000150,False,None,False
TX_2026_00000151,False,None,False
TX_2026_00000152,False,None,False
TX_2026_00000153,False,None,False
TX_2026_00000154,True,HIGH_AMOUNT,False
TX_2026_00000155,False,None,False
TX_2026_00000156,False,None,False
TX_2026_00000157,False,None,False
TX_2026_00000158,False,None,False
TX_2026_00000159,False,None,False
TX_2026_00000160,False,None,False
TX_2026_00000161,False,None,False
TX_2026_00000162,False,None,False
TX_2026_00000163,False,None,False
TX_2026_00000164,False,None,False
TX_2026_00000165,False,None,False
TX_2026_00000166,False,None,False
TX_2026_00000167,False,None,False
TX_2026_00000168,False,None,False
TX_2026_00000169,False,None,False
TX_2026_00000170,False,None,False
TX_2026_00000171,False,None,False
TX_2026_00000172,False,None,False
TX_2026_00000173,False,None,False
TX_2026_00000174,False,None,False
TX_2026_00000175,False,None,False
TX_2026_00000176,False,None,False
TX_2026_00000177,False,None,False
TX_2026_00000178,False,None,False
TX_2026_00000179,False,None,False
TX_2026_00000180,False,None,False
TX_2026_00000181,False,None,False
TX_2026_00000182,False,None,False
TX_2026_00000183,False,None,False
TX_2026_00000184,False,None,False
TX_2026_00000185,False,None,False
TX_2026_00000186,False,None,False
TX_2026_00000187,False,None,False
TX_2026_00000188,False,None,False
TX_2026_00000189,False,None,False
TX_2026_00000190,False,None,False
TX_2026_00000191,False,None,False
TX_2026_00000192,False,None,False
TX_2026_00000193,False,None,False
TX_2026_00000194,False,None,False
TX_2026_00000195,False,None,False
TX_2026_00000196,False,None,False
TX_2026_00000197,False,None,False
TX_2026_00000198,False,None,False
TX_2026_00000199,False,None,False
TX_2026_00000200,False,None,False
TX_2026_00000201,False,None,False
TX_2026_00000202,False,None,False
TX_2026_00000203,False,None,False
TX_2026_00000204,False,None,False
TX_2026_00000205,True,HIGH_AMOUNT,False
TX_2026_00000206,False,None,False
TX_2026_00000207,False,None,False
TX_2026_00000208,False,None,False
TX_2026_00000209,True,UNUSUAL_NIGHT,True
TX_2026_00000210,False,None,False
TX_2026_00000211,False,None,False
TX_2026_00000212,False,None,False
TX_2026_00000213,False,None,False
TX_2026_00000214,False,None,False
TX_2026_00000215,False,None,False
TX_2026_00000216,False,None,False
TX_2026_00000217,False,None,False
TX_2026_00000218,False,None,False
TX_2026_00000219,False,None,False
TX_2026_00000220,False,None,False
TX_2026_00000221,False,None,False
TX_2026_00000222,False,None,False
TX_2026_00000223,False,None,False
TX_2026_00000224,False,None,False
TX_2026_00000225,False,None,False
TX_2026_00000226,False,None,False
TX_2026_00000227,False,None,False
TX_2026_00000228,False,None,False
TX_2026_00000229,False,None,False
TX_2026_00000230,False,None,False
TX_2026_00000231,False,None,False
TX_2026_00000232,False,None,False
TX_2026_00000233,False,None,False
TX_2026_00000234,False,None,False
TX_2026_00000235,False,None,False
TX_2026_00000236,False,None,False
TX_2026_00000237,False,None,False
TX_2026_00000238,False,None,False
TX_2026_00000239,False,None,False
TX_2026_00000240,False,None,False
TX_2026_00000241,False,None,False
TX_2026_00000242,False,None,False
TX_2026_00000243,False,None,False
TX_2026_00000244,False,None,False
TX_2026_00000245,False,None,False
TX_2026_00000246,False,None,False
TX_2026_00000247,False,None,False
TX_2026_00000248,False,None,False
TX_2026_00000249,False,None,False
TX_2026_00000250,False,None,False
TX_2026_00000251,False,None,False
TX_2026_00000252,False,None,False
TX_2026_00000253,False,None,False
TX_2026_00000254,False,None,False
TX_2026_00000255,False,None,False
TX_2026_00000256,False,None,False
TX_2026_00000257,False,None,False
TX_2026_00000258,False,None,False
TX_2026_00000259,False,None,False
TX_2026_00000260,False,None,False
TX_2026_00000261,False,None,False
TX_2026_00000262,False,None,False
TX_2026_00000263,False,None,False
TX_2026_00000264,False,None,False
TX_2026_00000265,False,None,False
TX_2026_00000266,False,None,False
TX_2026_00000267,False,None,False
TX_2026_00000268,False,None,False
TX_2026_00000269,False,None,False
TX_2026_00000270,False,None,False
TX_2026_00000271,False,None,False
TX_2026_00000272,False,None,False
TX_2026_00000273,False,None,False
TX_2026_00000274,False,None,False
TX_2026_00000275,False,None,False
TX_2026_00000276,False,None,False
TX_2026_00000277,False,None,False
TX_2026_00000278,False,None,False
TX_2026_00000279,False,None,False
TX_2026_00000280,False,None,False
TX_2026_00000281,False,None,False
TX_2026_00000282,False,None,False
TX_2026_00000283,False,None,False
TX_2026_00000284,False,None,False
TX_2026_00000285,True,NEW_FOREIGN_LOCATION,True
TX_2026_00000286,False,None,False
TX_2026_00000287,False,None,False
TX_2026_00000288,False,None,False
