customer_id,latent_expected_transactions_month,latent_typical_transaction_amount,latent_amount_variability,latent_online_probability,latent_international_probability,latent_night_probability,latent_weekend_probability,latent_number_of_devices,latent_geographic_mobility
ID_C00001,24.476009439711472,26.38737857670192,0.6792989599556912,0.3440564716391214,0.005,0.017445512328442048,0.22639202015836427,2,0.19763472869117038
ID_C00002,47.614500761503706,61.4226871180117,0.5719325600403322,0.5127241206968033,0.06870037369008183,0.028517688427919047,0.29843753920412497,1,0.6054140361568727
ID_C00003,21.618909780659507,37.14891291522164,0.4272629840649342,0.372254133867403,0.043818820717247915,0.03929180444592232,0.20239332247558853,2,0.3495279133915186
ID_C00004,40.69622810260272,105.98753894918215,0.733754866217105,0.19877572709284627,0.017449090870084893,0.06539948556438739,0.3364486146360446,1,0.19918122276449662
ID_C00005,33.72009883834519,84.32044691678587,0.46857595943616537,0.6043154268305195,0.02337961170845223,0.135804033076668,0.25583429045703643,3,0.5314696275686274
ID_C00006,22.526561581394777,44.90401508550276,0.5824254282960161,0.02,0.03721315134570795,0.038240683642680115,0.1880561075878329,1,0.4793929573481275
ID_C00007,16.248515696754986,58.92060124372903,0.5326180532405944,0.21651149700142253,0.05651012260420023,0.06465555828398195,0.25556132898964273,1,0.2581529913301875
ID_C00008,17.01183275125699,49.330295919058734,0.4542643218623181,0.1224313676662078,0.07466851143986077,0.02701369284995972,0.3048580372026882,1,0.38285824248813216
ID_C00009,17.22210696724592,37.29144478165614,0.5821567701636938,0.5190653460279762,0.06827100950229646,0.07345185147333372,0.26184730767174647,1,0.15649924252931524
ID_C00010,21.344884864552185,24.864384683761685,0.5005223875516818,0.4480746658905909,0.06786124704119777,0.06663462772431966,0.2950757257745288,1,0.2904338146912321
ID_C00011,19.39045645275014,25.224544303427805,0.30900295106025766,0.45027531723985187,0.06599096906893746,0.06736302361599847,0.26109187229803055,5,0.18599735341073026
ID_C00012,19.538382744618442,55.98046043793025,0.35118168239761516,0.19344236435458573,0.059509424093291116,0.03514625110758014,0.14769710728057728,3,0.3026222574628131
ID_C00013,31.531730927897115,27.260946058484382,0.29222216056994454,0.41792756349563165,0.058799867358870606,0.08397968938101091,0.3417555622957289,1,0.4755963469463474
ID_C00014,14.511992612995341,30.968756487451365,0.7125600591883986,0.21101901968442321,0.005,0.06587877367036012,0.20888886514506133,3,0.40057518814732573
ID_C00015,70.40074697735784,144.34517446944176,0.7189132274874914,0.3010461879968136,0.03471814877074762,0.0566927865585959,0.23935294523448372,2,0.2831050936300338
ID_C00016,26.139951130682153,31.94503624436991,0.3201245444993054,0.4464346247174189,0.005,0.07784230227316673,0.29731087245908394,3,0.24008452817530174
ID_C00017,23.11814352557508,30.588245001543847,0.5274262346957417,0.6128469732435164,0.01714453283102456,0.07096223009340863,0.2348536410956487,3,0.2951084968637479
ID_C00018,27.831608413180145,53.79020408384281,0.2724553096961645,0.6274394236232752,0.005,0.13431469794305298,0.3589545628205218,4,0.32632590016366275
ID_C00019,17.32079396055241,54.48162808678317,0.29723333403075763,0.4035755991995992,0.057329377488876246,0.019388274206987494,0.21159204003771676,1,0.5068398864939956
